ID,Identifier,Title,Type,Creator,Creation_Date,Image_URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AK-MAK-1347B,http://hdl.handle.net/10934/RM0001.COLLECT.1740,Schetsboek van Hokusai,boek,"Hokusai, Katsushika",1819,https://lh3.ggpht.com/998n-Nuv3v_TL1RriLRosGU-LZ6krO1Zg5mfqrBqmN1nw2y7Hj9LoRT5R8kR5ZA1Bw8uVoTeDanyTFqvxdvVfKGi6Mbp=s0,,,,
AK-MAK-1348,http://hdl.handle.net/10934/RM0001.COLLECT.1741,Honderd gezichten op de berg Fuji - deel drie,boek,"Hokusai, Katsushika",1875,https://lh3.ggpht.com/jCGzMy4lKCwYC5F10ESVmuRRT4KO_UIWT7dHeWJpZ2nm8Fm3Te2fGIQJLakZyIMB3jY5FN7-iY-798IPHtb5taX_60ky=s0,,,,
AK-MAK-1349A,http://hdl.handle.net/10934/RM0001.COLLECT.1742,Schetsen van Hokusai - deel 2,boek,"Hokusai, Katsushika",1819,https://lh4.ggpht.com/2rSejEtvlPjQgsqMwRjZUQQ191_djS50fATEWgA1NOv1BpZuzUuL2C07PEC0bb99NhG-zdMOoVfpackQe0bwz2aw4UE=s0,,,,
AK-MAK-1349B,http://hdl.handle.net/10934/RM0001.COLLECT.1743,Schetsen van Hokusai - deel 5,boek,"Hokusai, Katsushika",1819,https://lh3.ggpht.com/n298bSpw24l6QM41a3vuc-q1tctWRQJwkx99mP6HgGC67yRpBoaeB0PwHVOFS-TWvkvU-ifyFbofdkBirMDEK4bzYQ=s0,,,,
AK-MAK-1349C,http://hdl.handle.net/10934/RM0001.COLLECT.1744,Schetsen van Hokusai - deel 6,boek,"Hokusai, Katsushika",1820,https://lh5.ggpht.com/rdyGzZeNL-IXwMHLlHMqID3yTo8RXilxypN6Yb3SYXGDxBSmIXnI_6vC3KzXyBf_3w4R3xyeCyKOP3IalobuMevOfQ=s0,,,,
AK-MAK-1349D,http://hdl.handle.net/10934/RM0001.COLLECT.1745,Schetsen van Hokusai - deel 8,boek,"Hokusai, Katsushika",1820,https://lh6.ggpht.com/VK3Vd2tBAxIvJa_xnHXsR2WAMIvg3n-s8L_2GPZMJxyJwZHcYEMutIJlnLIA62TsO8elUJ5lLCUnuB88zFq84vYqcdI=s0,,,,
AK-MAK-1349E,http://hdl.handle.net/10934/RM0001.COLLECT.1746,Schetsen van Hokusai - deel 9,boek,"Hokusai, Katsushika",1819,https://lh3.ggpht.com/0cScR_CnkK1MhJrjYb-iCaxIqtQCaVviN1HslMTeBXJLkPnQIOQmWp_rKqkYRV4R6IYJtxpsZ_BLhr8nryrz8l7P0QE=s0,,,,
AK-MAK-1349F,http://hdl.handle.net/10934/RM0001.COLLECT.1747,Schetsen van Hokusai - deel 10,boek,"Hokusai, Katsushika",1819,https://lh3.ggpht.com/Y9Kg9st9VmlnMcUN4sW0n0j2nqAWsFO2053BLP3Cfd8WW8zVb3YMu5Y55fzf4xUcfYRo4eUKT4IvSUfcSBoWbGv--yAj=s0,,,,
AK-MAK-1349G,http://hdl.handle.net/10934/RM0001.COLLECT.1748,Schetsen van Hokusai - deel 13,boek,"Hokusai, Katsushika",1820,https://lh5.ggpht.com/Cg3EwpmjKfu2x-f2351LYDshketM8FNc0BrjDCE5wAymsKZ1VZ3c9QiL6bdk0bJrXNCnk_42e6OJRU1CdR6XbOTZvwwT=s0,,,,
AK-MAK-1349H,http://hdl.handle.net/10934/RM0001.COLLECT.1749,Schetsen van Hokusai - deel 14,boek,"Hokusai, Katsushika",1820,https://lh6.ggpht.com/2YXt1DCZhpdIKkjcnmciL-FEY9Si7J7h07eSVckMcV5lwBKG6okbUG2HdXpVUe-2vppywlYT1PKz5ht8xkVqQtNK1ig=s0,,,,
AK-MAK-135,http://hdl.handle.net/10934/RM0001.COLLECT.1654,Helm van ijzer met zilver ingelegd,helm,anonymous,1600,https://lh3.googleusercontent.com/r7JxplmupzQSU7gd0juSL0HGhz7Un5x8gXOTwGCZM8Oyh4Xzzz74DtUodgrfBNuxAGY9Y3cjq3YWpcAQrQUGtdQgzoEW=s0,,,,
AK-MAK-1350,http://hdl.handle.net/10934/RM0001.COLLECT.47639,Ontwerpen voor lantaarndecoraties,boek,"Hanzan, Matsukawa",1820,,,,,
AK-MAK-1351,http://hdl.handle.net/10934/RM0001.COLLECT.1520,Theekom met groene en rode lijnen,theekom,anonymous,1800,https://lh3.googleusercontent.com/qZn__JpNXEwnT5zA7DzeMsZS9XsJfVpg_NtdCX9JA5M2aE8H6kM36ruF80u6mN8leE1DxsEBHaPPpnFX-fyL7fW7yQU=s0,,,,
